元の城名,URL,城名,別名,築城年,城主,場所,Latitude,Longitude
白鹿城,https://gosenzo.net/yamajiro/2020/12/24/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e7%99%bd%e9%b9%bf%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%971%e5%9f%8e%e7%9b%ae%e3%80%91/,白鹿城（しらがじょう）,白髪城,永禄年間(1558年〜1569年)か？,松田満久,島根県松江市法吉町,35.499531,133.053339
三沢城,https://gosenzo.net/yamajiro/2020/12/24/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%89%e6%b2%a2%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%972%e5%9f%8e%e7%9b%ae%e3%80%91/,三沢城,鴨倉城、亀嶽城,14世紀初頭の嘉元2年(1304年)頃に三沢為長によって築かれたと伝わる。,三沢氏,島根県仁多郡奥出雲町三沢,35.203487,132.962236
三刀屋城,https://gosenzo.net/yamajiro/2020/12/26/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%89%e5%88%80%e5%b1%8b%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%973%e5%9f%8e%e7%9b%ae%e3%80%91/,三刀屋城,尾崎城、天神丸城,戦国時代,三刀屋氏,島根県雲南市三刀屋町古城,35.29342,132.871571
瀬戸山城,https://gosenzo.net/yamajiro/2020/12/31/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e8%b5%a4%e7%a9%b4%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%974%e5%9f%8e%e7%9b%ae%e3%80%91/,瀬戸山城,"赤穴城,藤蔓城,衣掛城,藤釣城",永和3年（1377）,赤穴氏、松田左近,島根県飯石郡飯南町下赤名上市,34.994328,132.721794
三笠城,https://gosenzo.net/yamajiro/2021/01/02/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%89%e7%ac%a0%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%975%e5%9f%8e%e7%9b%ae%e3%80%91/,三笠城,熊野城,南北朝～室町時代か,牛尾氏,島根県雲南市大東町南村,35.337928,133.031694
高瀬城,https://gosenzo.net/yamajiro/2021/01/02/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%ab%98%e7%80%ac%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%976%e5%9f%8e%e7%9b%ae%e3%80%91/,高瀬城,高瀬山城,戦国時代か,米原氏　吉川元春,島根県出雲市斐川町神庭,35.362922,132.863522
神西城,https://gosenzo.net/yamajiro/2021/01/03/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e7%a5%9e%e8%a5%bf%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%977%e5%9f%8e%e7%9b%ae%e3%80%91/,神西城（じんざいじょう）,龍王山，竹生城，高倉城,貞応2年(1223)小野高通が相模国鎌倉から地頭職として下向したのでそれ以降に築城。,神西氏,島根県出雲市東神西町,35.3148807,132.6974066
熊野城,https://gosenzo.net/yamajiro/2021/01/03/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e7%86%8a%e9%87%8e%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%978%e5%9f%8e%e7%9b%ae%e3%80%91/,熊野城,要害山,戦国時代か,熊野氏、天野隆重,島根県松江市八雲町熊野,35.357186,133.062953
馬木城,https://gosenzo.net/yamajiro/2021/01/03/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%a6%ac%e6%9c%a8%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%979%e5%9f%8e%e7%9b%ae%e3%80%91/,馬木城（まきじょう）,"夕景城、馬来城,寒峰城,感目城,矢筈山城",室町時代,馬木（まき）氏,島根県仁多郡奥出雲町大馬木,35.09866,133.03911
高麻城,https://gosenzo.net/yamajiro/2021/01/03/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%ab%98%e9%ba%bb%e5%9f%8e%e3%80%90%e5%b0%bc%e5%ad%90%e5%8d%81%e6%97%9710%e5%9f%8e%e7%9b%ae%e3%80%91/,高麻城（たかさじょう）,"大西城（だいさいじょう）（,高佐城,鞍掛城",天文年間頃か,鞍掛久光、大西氏、毛利氏,島根県雲南市加茂町仁和寺,35.34674,132.9253
津和野城,https://gosenzo.net/yamajiro/2021/05/31/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%b4%a5%e5%92%8c%e9%87%8e%e5%9f%8e%e3%80%90%e9%b9%bf%e8%b6%b3%e9%83%a1%e6%b4%a5%e5%92%8c%e9%87%8e%e7%94%ba%e5%be%8c%e7%94%b0%e3%80%91/,津和野城,三本松城、一本松城、蕗城城、豪吾城。,永仁3年（1295）,吉見氏、坂崎氏、亀井氏,島根県鹿足郡津和野町後田,34.459916,131.764034
中荒城,https://gosenzo.net/yamajiro/2021/05/31/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%ad%e8%8d%92%e5%9f%8e%e3%80%90%e9%b9%bf%e8%b6%b3%e9%83%a1%e6%b4%a5%e5%92%8c%e9%87%8e%e7%94%ba%e9%b7%b2%e5%8e%9f%e3%80%91/,中荒城,,永仁3年(1295)に築城とされている。,吉見頼行,島根県鹿足郡津和野町後田,34.455173,131.760119
七尾城・三宅土居,https://gosenzo.net/yamajiro/2021/06/13/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%83%e5%b0%be%e5%9f%8e%e3%83%bb%e4%b8%89%e5%ae%85%e5%9c%9f%e5%b1%85%e3%80%90%e7%9b%8a%e7%94%b0%e5%b8%82%e4%b8%83%e5%b0%be%e7%94%ba%e3%80%91/,七尾城,益田城,鎌倉時代,益田氏,島根県益田市七尾町,34.672151,131.863860
大谷城,https://gosenzo.net/yamajiro/2021/06/13/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%a4%a7%e8%b0%b7%e5%9f%8e%e3%80%90%e7%9b%8a%e7%94%b0%e5%b8%82%e4%b9%85%e3%80%85%e8%8c%82%e7%94%ba%e3%80%91/,大谷城,,鎌倉時代か,益田氏、大谷氏,島根県益田市久々茂町,34.675832,131.877180
鶴ヶ城,https://gosenzo.net/yamajiro/2021/06/20/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%b6%b4%e3%83%b6%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e5%a4%9a%e4%bc%8e%e7%94%ba%e5%8f%a3%e7%94%b0%e5%84%80-%e3%80%91/,鶴ヶ城,田儀城,康和4年（1102）伝承。,"源義親、小野氏（古荘氏）,大鳥馬田守",島根県出雲市多伎町口田儀,35.264423,132.578475
真山城,https://gosenzo.net/yamajiro/2021/06/20/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e7%9c%9f%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%be%e6%b1%9f%e5%b8%82%e6%b3%95%e5%90%89%e7%94%ba%e3%80%91/,真山城,新山城,戦国時代か,尼子氏、多賀元信、山中鹿介（幸盛）,島根県松江市法吉町,35.508640,133.054788
浜田城,https://gosenzo.net/yamajiro/2021/06/25/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%b5%9c%e7%94%b0%e5%9f%8e%e3%80%90%e6%b5%9c%e7%94%b0%e5%b8%82%e6%ae%bf%e7%94%ba%e3%80%91/,浜田城,亀山城,元和6年（1620）,吉田重治によって築城、(松井)松平氏、本多氏、(越智)松平氏,島根県浜田市殿町,34.903186,132.073553
周布城,https://gosenzo.net/yamajiro/2021/06/25/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%91%a8%e5%b8%83%e5%9f%8e%e3%80%90%e6%b5%9c%e7%94%b0%e5%b8%82%e5%91%a8%e5%b8%83%e7%94%ba%e3%80%91/,周布城,鳶巣城,文永年間（1264～75）,周布氏,島根県浜田市周布城,34.855215,132.029063
三隅城,https://gosenzo.net/yamajiro/2021/07/10/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%89%e9%9a%85%e5%9f%8e%e3%80%90%e6%b5%9c%e7%94%b0%e5%b8%82%e4%b8%89%e9%9a%85%e7%94%ba%e4%b8%89%e9%9a%85%e3%80%91/,三隅城,高城（正式名称はこちら）,南北時代頃か,三隅氏,島根県浜田市三隅町三隅,34.776167,131.981472
狼山城,https://gosenzo.net/yamajiro/2021/07/11/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e7%8b%bc%e5%b1%b1%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e6%96%90%e5%b7%9d%e7%94%ba%e7%9b%b4%e6%b1%9f%e3%80%91/,狼山城,狼ヶ森城,不明,米原氏か,島根県出雲市斐川町直江,35.383520,132.820759
塩冶神社境内遺跡,https://gosenzo.net/yamajiro/2021/07/11/%e3%80%90-%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%a1%a9%e5%86%b6%e7%a5%9e%e7%a4%be%e5%a2%83%e5%86%85%e9%81%ba%e8%b7%a1%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e4%b8%8a%e5%a1%a9%e5%86%b6%e7%94%ba%e3%80%91/,塩冶神社境内遺跡,,鎌倉末期から室町時代初期か,塩冶氏と伝わる,島根県出雲市上塩冶町,35.352322,132.764427
浄土寺山城,https://gosenzo.net/yamajiro/2021/07/11/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%b5%84%e5%9c%9f%e5%af%ba%e5%b1%b1%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e4%b8%8b%e5%8f%a4%e5%bf%97%e7%94%ba%e3%80%91/,浄土寺山城,,鎌倉時代,古志氏,島根県出雲市下古志町,35.336939,132.740372
栗栖城,https://gosenzo.net/yamajiro/2021/07/11/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%a0%97%e6%a0%96%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e5%8f%a4%e5%bf%97%e7%94%ba%e3%80%91/,栗栖城,,建武年間(1334年〜1336年)に浄土寺山城よりこちらに移動してきたと伝わる。,古志氏,島根県出雲市古志町,35.329779,132.745914
戸倉城,https://gosenzo.net/yamajiro/2021/07/11/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%88%b8%e5%80%89%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e7%a8%97%e5%8e%9f%e6%88%b8%e5%80%89%e3%80%91/,戸倉城,十蔵城,室町時代か,古志氏,島根県出雲市稗原戸倉,35.299639,132.786480
赤城,https://gosenzo.net/yamajiro/2021/07/25/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e8%b5%a4%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e5%b7%9d%e6%9c%ac%e7%94%ba%e5%a4%a7%e5%ad%97%e5%b7%9d%e6%9c%ac%e3%80%91/,赤城,赤城山城,不明,小笠原氏,島根県邑智郡川本町大字川本,34.990330,132.513794
温湯城,https://gosenzo.net/yamajiro/2021/07/25/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%b8%a9%e6%b9%af%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e5%b7%9d%e6%9c%ac%e7%94%ba%e5%a4%a7%e5%ad%97%e5%b7%9d%e6%9c%ac-%e3%80%91/,温湯城（ぬくじょう）,温井城、温井要害、河本城,南北朝期か,小笠原氏,島根県邑智郡川本町大字川本,34.980256,132.502799
丸山城,https://gosenzo.net/yamajiro/2021/07/25/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%b8%e5%b1%b1%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e5%b7%9d%e6%9c%ac%e7%94%ba%e5%a4%a7%e5%ad%97%e4%b8%89%e5%8e%9f%e3%80%91/,丸山城,円山城,天正13年(1585)小笠原長旌によって築かれたと伝わる。,小笠原長旌,島根県邑智郡川本町大字三原,34.980721,132.406486
向山城・大廻城,https://gosenzo.net/yamajiro/2021/07/29/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%a4%a7%e5%bb%bb%e5%9f%8e%e3%80%81%e5%90%91%e5%b1%b1%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e5%a1%a9%e5%86%b6%e7%94%ba%e3%80%91/,向山城,大廻城（おおさこじょう、だいさこじょう）,不明,塩冶氏,島根県出雲市上塩冶町向山,35.357505,132.766405
半分城,https://gosenzo.net/yamajiro/2021/07/29/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%8d%8a%e5%88%86%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e4%b8%8a%e5%a1%a9%e5%86%b6%e7%94%ba%e3%80%91/,半分城,,戦国時代か,塩冶氏,島根県出雲市上塩冶町,35.344416,132.762197
鵜丸城,https://gosenzo.net/yamajiro/2021/07/31/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%b5%9c%e4%b8%b8%e5%9f%8e%e3%80%90%e5%a4%aa%e7%94%b0%e5%b8%82%e6%b8%a9%e6%b3%89%e6%b4%a5%e7%94%ba%e5%a4%a7%e5%ad%97%e6%b8%a9%e6%b3%89%e6%b4%a5/,鵜丸城,"沖鵜丸城,鵜の丸城",1571年頃,都野隆安が城番とある。,島根県大田市温泉津町温泉津,35.098189,132.338802
櫛山城,https://gosenzo.net/yamajiro/2021/08/01/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%ab%9b%e5%b1%b1%e5%9f%8e%e3%80%90%e5%a4%a7%e7%94%b0%e5%b8%82%e6%b8%a9%e6%b3%89%e6%b4%a5%e7%94%ba%e6%b8%a9%e6%b3%89%e6%b4%a5%e3%80%91/,櫛山城,櫛島城,弘安年間(1278年〜1287年)に築かれた元寇防塁の石見十八砦の一つ,温泉氏、毛利氏　（出原次郎四郎という人物も出てくる）,島根県大田市温泉津町温泉津,35.101319,132.338486
二ツ山城,https://gosenzo.net/yamajiro/2021/08/01/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%ba%8c%e3%83%84%e5%b1%b1%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e9%82%91%e5%8d%97%e7%94%ba%e9%b1%92%e6%b8%95%e5%ad%97%e6%b0%b8%e6%98%8e%e5%af%ba/,二ツ山城,,貞応2年(1223)富永朝助(出羽朝祐)によって築城。,出羽氏、髙橋氏,島根県邑智郡邑南町鱒渕字永明寺,34.865906,132.518077
本城,https://gosenzo.net/yamajiro/2021/08/09/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%9c%ac%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e9%82%91%e5%8d%97%e7%94%ba%e4%b8%8b%e7%94%b0%e6%89%80%e3%80%91/,本城,,康安元年（1361）以降。,髙橋氏、本城氏。,島根県邑智郡邑南町下田所,34.857228,132.510623
別当城,https://gosenzo.net/yamajiro/2021/08/09/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%88%a5%e5%bd%93%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e9%82%91%e5%8d%97%e7%94%ba%e5%92%8c%e7%94%b0%e3%80%91/,別当城,,貞応2年（1223）前後,和田氏,島根県邑智郡邑南町和田,34.885667,132.566286
余勢城,https://gosenzo.net/yamajiro/2021/08/09/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%bd%99%e5%8b%a2%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e9%82%91%e5%8d%97%e7%94%ba%e5%a4%a7%e5%ad%97%e4%b8%ad%e9%87%8e%e3%80%91/,余勢城,,1395年（応永2年）ころか,多胡忠重もしくは多胡久秀　または福屋氏の可能性もある。,島根県邑智郡邑南町大字中野,34.9007729,132.4581623
佐世城,https://gosenzo.net/yamajiro/2021/07/10/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%bd%90%e4%b8%96%e5%9f%8e%e3%80%90%e9%9b%b2%e5%8d%97%e5%b8%82%e5%a4%a7%e6%9d%b1%e7%94%ba%e5%a4%a7%e5%ad%97%e4%b8%8b%e4%bd%90%e4%b8%96%e3%80%91/,佐世城,金剛山城,室町時代,佐世氏,島根県雲南市大東町下佐世,35.314504,132.940263
山吹城,https://gosenzo.net/yamajiro/2021/08/14/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%b1%b1%e5%90%b9%e5%9f%8e%e3%80%90%e5%a4%a7%e7%94%b0%e5%b8%82%e5%a4%a7%e6%a3%ae%e7%94%ba%e3%80%91/,山吹城,,延慶2年(1309),"大内氏,尼子氏,毛利氏、本城常光",島根県大田市大森町,35.103956,132.430773
矢滝城,https://gosenzo.net/yamajiro/2021/08/14/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e7%9f%a2%e6%bb%9d%e5%9f%8e%e3%80%90%e5%a4%a7%e7%94%b0%e5%b8%82%e7%a5%96%e5%bc%8f%e7%94%ba%e7%9f%a2%e6%bb%9d%e3%80%91/,矢滝城,,享録元年(1528)大内義隆によって築かれたとの伝承がある。,大内氏　祖式氏？　小笠原氏,島根県太田市祖式町大字矢滝,35.084913,132.416854
琵琶甲城,https://gosenzo.net/yamajiro/2021/08/14/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e7%90%b5%e7%90%b6%e7%94%b2%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e9%82%91%e5%8d%97%e7%94%ba%e4%b8%8b%e5%8f%a3%e7%be%bd%e3%80%91/,琵琶甲城,矢羽城,享禄4年(1531)頃に口羽通良によって築かれた伝承がある。,口羽氏,島根県邑智郡邑南町下口羽,34.885426,132.667600
藤掛城,https://gosenzo.net/yamajiro/2021/08/15/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e8%97%a4%e6%8e%9b%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e9%82%91%e5%8d%97%e7%94%ba%e9%98%bf%e9%a0%88%e9%82%a3%e3%80%91/,藤掛城,藤根城,文和4年（1355）前後,髙橋氏,島根県邑智郡邑南町阿須那,34.870584,132.612540
鷲影城,https://gosenzo.net/yamajiro/2021/08/15/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%b7%b2%e5%bd%b1%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e9%82%91%e5%8d%97%e7%94%ba%e9%98%bf%e9%a0%88%e9%82%a3%e3%80%91/,鷲影城,,応永15年（1408）前後か,髙橋氏,島根県邑智郡邑南町阿須那,34.866102,132.631560
満願寺城,https://gosenzo.net/yamajiro/2021/12/25/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%ba%80%e9%a1%98%e5%af%ba%e5%9f%8e%e3%80%90%e6%9d%be%e6%b1%9f%e5%b8%82%e8%a5%bf%e6%b5%9c%e4%bd%90%e9%99%80%e7%94%ba%e3%80%91/,満願寺城,万願寺城,大永元年(1521)に湯原信綱によって築かれたとも伝えられる。,湯原氏、毛利氏,島根県松江市西浜佐陀町,35.472901,133.016358
荒隈城,https://gosenzo.net/yamajiro/2021/12/25/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e8%8d%92%e9%9a%88%e5%9f%8e%e3%80%90%e6%9d%be%e6%b1%9f%e5%b8%82%e5%9b%bd%e5%b1%8b%e7%94%ba%e3%80%91/,荒隈城（あらわいじょう）,洗合城、洗骸城,永録5年(1562)毛利元就によって築かれたと伝わる。,毛利氏,島根県松江市国屋町,35.467888,133.035593
松江城,https://gosenzo.net/yamajiro/2021/12/25/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%9d%be%e6%b1%9f%e5%9f%8e%e3%80%90%e6%9d%be%e6%b1%9f%e5%b8%82%e6%ae%bf%e7%94%ba%e3%80%91/,松江城,千鳥城,慶長12年(1607)堀尾吉晴と孫の忠晴によって築かれる。,堀尾氏、京極氏、松平氏,島根県松江市殿町,35.475635,133.050290
金山要害山城,https://gosenzo.net/yamajiro/2021/12/26/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%87%91%e5%b1%b1%e8%a6%81%e5%ae%b3%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%be%e6%b1%9f%e5%b8%82%e5%ae%8d%e9%81%93%e7%94%ba%e7%99%bd%e7%9f%b3%e3%80%91/,金山要害山城,坂口要害山城,応仁年間（1467～69）ころか。,宍道氏,島根県松江市宍道町白石,35.382108,132.918651
宍道要害山城,https://gosenzo.net/yamajiro/2021/12/26/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%ae%8d%e9%81%93%e8%a6%81%e5%ae%b3%e5%9f%8e%e3%80%90%e6%9d%be%e6%b1%9f%e5%b8%82%e5%ae%8d%e9%81%93%e7%94%ba%e5%ae%8d%e9%81%93%e3%80%91/,宍道要害城,無し,不明,宍道氏,島根県松江市宍道町宍道,35.403005,132.907422
玉造要害山城,https://gosenzo.net/yamajiro/2021/12/26/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e7%8e%89%e9%80%a0%e8%a6%81%e5%ae%b3%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%be%e6%b1%9f%e5%b8%82%e7%8e%89%e6%b9%af%e7%94%ba%e7%8e%89%e9%80%a0%e5%ad%97%e5%ae%ae/,玉造要害山城,湯ノ城、玉造城、湯ヶ城,元弘2年(1332年)頃に湯荘留守職の諏訪部扶重によって築かれたと伝わる。,諏訪部氏、湯氏。,島根県松江市玉湯町玉造字宮の上,35.412799,133.013170
鳶ヶ巣城,https://gosenzo.net/yamajiro/2021/12/26/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%b3%b6%e3%83%b6%e5%b7%a3%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e8%a5%bf%e6%9e%97%e6%9c%a8%e7%94%ba%e3%80%91/,鳶ヶ巣城,無し,16世紀前半には築城されたと思われるが、本格的には永録4年(1561)毛利氏により築城されたと伝わる。,宍道氏、尼子氏,島根県出雲市西林木町(鳶ヶ巣山),35.409332,132.773730
平田城,https://gosenzo.net/yamajiro/2021/12/26/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%b9%b3%e7%94%b0%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e5%b9%b3%e7%94%b0%e7%94%ba%e3%80%91/,平田城,手崎城、薬師寺城,応永年間から大永年間頃（1394～1528）までは、出雲国守護京極氏の家臣多賀氏の居城であったと伝わる。,多賀氏、飯野氏、牛尾氏,島根県出雲市平田町(愛宕山公園),35.440044,132.818773
高櫓城,https://gosenzo.net/yamajiro/2021/12/26/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%ab%98%e6%ab%93%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e4%bd%90%e7%94%b0%e7%94%ba%e5%8f%8d%e8%be%ba%e3%80%91/,高櫓城,高矢倉城、須佐城,戦国時代か,"亀井永綱,本城常光,熊谷広実,熊谷元実",島根県出雲市佐陀町反辺,35.246047,132.714865
姉山城,https://gosenzo.net/yamajiro/2022/01/02/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%a7%89%e5%b1%b1%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e6%9c%9d%e5%b1%b1%e7%94%ba%e4%b8%8a%e6%9c%9d%e5%b1%b1%e3%80%91/,姉山城,無し,不明,朝山氏（浅山氏）,島根県出雲市朝山町上朝山,35.326054,132.768797
阿用城,https://gosenzo.net/yamajiro/2022/01/02/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e9%98%bf%e7%94%a8%e5%9f%8e%e3%80%90%e9%9b%b2%e5%8d%97%e5%b8%82%e5%a4%a7%e6%9d%b1%e7%94%ba%e6%9d%b1%e9%98%bf%e7%94%a8%e3%80%91/,阿用城,阿与城、磨石城（とぎしじょう）,室町時代末期,桜井氏,島根県雲南市大東町東阿用(磨石山),35.299833,132.978109
宇山城,https://gosenzo.net/yamajiro/2022/01/02/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%ae%87%e5%b1%b1%e5%9f%8e%e3%80%90%e9%9b%b2%e5%8d%97%e5%b8%82%e6%9c%a8%e6%ac%a1%e7%94%ba%e5%ad%97%e5%af%ba%e9%a0%98%e3%80%91/,宇山城,上宇山城、日登城,不明,宇山氏,島根県雲南市木次町字寺領,35.290307,132.924421
岩熊城,https://gosenzo.net/yamajiro/2022/01/02/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%b2%a9%e7%86%8a%e5%9f%8e%e3%80%90%e9%9b%b2%e5%8d%97%e5%b8%82%e5%a4%a7%e6%9d%b1%e7%94%ba%e9%a4%8a%e8%b3%80%e5%ad%97%e5%b2%a9%e7%86%8a%e3%80%91/,岩熊城,馬場城,室町時代末期,馬田豊前守,島根県雲南市大東町養賀字岩熊,35.334533,132.945915
近松城,https://gosenzo.net/yamajiro/2022/01/02/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e8%bf%91%e6%9d%be%e5%9f%8e%e3%80%90%e9%9b%b2%e5%8d%97%e5%b8%82%e5%8a%a0%e8%8c%82%e7%94%ba%e5%a4%a7%e5%ad%97%e8%bf%91%e6%9d%be%e5%ad%97%e7%ab%8b%e5%8e%9f/,近松城,大西城か,室町時代,立原氏,島根県雲南市加茂町近松字立原,35.331947,132.923872
三刀屋じゃ山城,https://gosenzo.net/yamajiro/2022/01/02/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%89%e5%88%80%e5%b1%8b%e3%81%98%e3%82%83%e5%b1%b1%e5%9f%8e%e3%80%90%e9%9b%b2%e5%8d%97%e5%b8%82%e4%b8%89%e5%88%80%e5%b1%8b%e7%94%ba%e5%8f%a4%e5%9f%8e/,三刀屋じゃ山城,石丸城,室町時代か,三刀屋氏,島根県雲南市三刀屋町大字古城,35.298346,132.859507
